#Language,ภาษาไทย
#Location,TH
#Image,th  
None,None
Test,เทส

#Human,มนุษย์
#Elf,เอลฟ์
#Dwarf,คนแคระ
#Neko,แมว
#Inu,หมา
#Usagi,กระต่าย
#Hitsuji,แกะ
#Dragonian,มังกร
#Furry,หมาป่า
#SmallFurry,สัตว์เล็ก
#Goblin,ก๊อบลิน
#Orc,อ็อค
#Werewolf,มนุษย์หมาป่า
#Minotaur,มิโนทอร์
#Salamander,ซาลาเมนเด้อ
#Client,ลูกค้า

#Monster,มอนสเตอร์
#Slave,ทาส
#Room,ห้อง
#Consumable,ไอเท็ม

// Room
#BreedingRoom,BreedingRoom
#FemaleSlaveCage,Slave Cage
#SlaveCage,Slave Cage
#Altar,Altar
#Blacksmith,Blacksmith
#Laboratory,Laboratory
#Library,Library
#Market,Market
#Mercenary,Mercenary
#Warehouse,Warehouse
#Morgue,Morgue
#DrawingRoom,Drawing Room
#DeliveryRoom,Delivery Room
#FrontDoor,Front Door
#BackDoor,Back Door
#MonsterCage,Monster Cage
#GloryHole,Glory Hole
#WaitingPlace,Waiting Place
#RationDistribution,Automatic Ration Distribution
#ShowerRoom,Shower Room
#ShowerRoom2,Shower Room
#Bathroom,Bathroom
#AutomaticDeliveryRoom,Automatic Delivery Room
#MilkingRoom,Milking Room
#AutomaticMilkingRoom,Automatic Milking Room
#Carriage,Carriage
#ShowerRoomGround,Shower Room
#BathroomGround,Automatic Bathroom
#KokiRoom,Paizuri Room
#Stall,Bestiality Show
#BirthShowRoom,Birth Show
#VipRoom,VIP Room
#VvipRoom,VVIP Room
#BreedingRoom2,Big Breeding Room
#MonsterCage2,Big Monster Cage

// Room Information
#BreedingRoomText,Facility for breeding monsters and slaves.
#SlaveCageText,ห้องสำหรับทาสหญิง สามารถใส่ได้ 5 คน.
#MonsterCageText,ห้องสำหรับมอนสเตอร์ สามารถใส่ได้ 5 ตัว.
#BackDoorText,Dangerous deal is being made.
#DeliveryRoomText,วางทาส เพื่อคลอดลูก .
#MorgueText,Corpses placed within are sealed.
#CarriageText,You can sell slaves or monsters.
#GrowthCapsuleText,Device that corrects the appearance of a slave.<BR>One part of the slave's appearance can be randomly changed.
#AppearanceCapsuleText,Device that corrects the appearance of a monster.<BR>One part of the monster's appearance can be randomly changed.
#RationDistributionText,Facility that automatically distributes food
#ShowerRoomText,Facility that restores the cleanliness
#BathroomText,Facility that automatically restores the cleanliness
#AutomaticDeliveryRoomText,Facility that automatically gives birth
#MilkingRoomText,Facility that milks
#AutomaticMilkingRoomText,Facility that milks and automatically distributes milks
#ServiceRoomText,Facility for paizuri<BR>Usage fee by race <sprite index=1> +30

// Menu
#Menu,MENU
#Start,START
#Story,STORY
#Option,OPTION
#Sponsor,SPONSOR
#Save,SAVE
#Load,LOAD
#Config,OPTION
#Sound,SOUND
#ToTitle,TO TITLE
#Empty,EMPTY
#Back,BACK
#Exit,EXIT
#FullScreen,FULL SCREEN
#Window,WINDOW
#Special,ENTER CODE
#AutoSave,AutoSave
#Free_Mode,FreeMode
#Master_Volume,MASTER VOLUME
#Music_Volume,MUSIC VOLUME
#Effects_Volume,EFFECTS VOLUME
#LanguageTitle,LanguageTitle
#FrameText0,VSYNC ON
#FrameText1,VSYNC OFF
#FrameText2,LIMIT FPS 60
#FrameText3,LIMIT FPS 30

#EnterCode,Please enter pass code.

// Scroll
#Building,Underground Construction
#BuildingGround,Ground Construction
#Inventory,Inventory

// Room
#Room Effect,Room Effect
#Demolish,Demolish

#Time Limit Text,Time Limit<BR>{0}/{1}Day({2}/{3}Second)
#EventTimeText,{0:0.0} Day
#Payment_Text,Payments paid {0}/{1}
#MarketRate,MarketRate {0}%

#First Page,First Page
#Middle Page,{0} Page
#Last Page,Last Page

#MentalityText,Health <color=#8888FF>{0}/{1}</color>
#MaxMentalityText,{0}<BR>Max Health <color=#8888FF>{1}</color>
#Sex Count Text,Sex experience <color=#8888FF>{0}time</color>
